name,price
Python金融数据分析 Python，数据分析，金融，金融数据,53.82
从零起步学编程 Python篇+Java篇+C#篇+CSS篇 套装全4册,125.60
Python 3 面向对象编程（第2版）,98.00
Python数据可视化编程实战 第2版,57.80
Python机器学习与量化投资,78.20
Python编程与初级数学,38.60
现货2本套 Python网络数据爬取及分析从入门到精通爬取篇+分析篇 Python零基础教,91.60
深度学习案例精粹,74.50
跟老齐学Python 数据分析,78.20
Python语言程序设计基础（第2版）教育部大学计算机课程改革项目规划教材,28.70
基于Python的金融分析与风险管理,87.80
Python数据分析与挖掘实战,54.50
Python Qt GUI与数据可视化编程,78.20
教孩子学编程 Python语言版,43.90
从AI模型到智能机器人：基于 Python与TensorFlow,78.20
SQLAlchemy Python数据库实战 第2版,48.20
Python入门与实战,21.70
Python深度学习面向自然语言处理的深度学习 神经网络OpenCV+TensorFlow 机器学习,440.00
Python数据科学：技术详解与商业实践,81.70
现货包邮 Python真好玩：教孩子学编程 刘凤飞 曾茜 青少年python基础入门|8062436,57.20
Python从入门到项目实践（超值微视频版）/软件开发魔典,76.40
Python从菜鸟到高手,95.00
ABAQUS Python二次开发攻略 CAE分析大系,50.10
Python 3.x程序设计基础/计算机系列教材,39.40
零起点Python大数据与量化交易何海群 著,78.21
跟老齐学Python：Django实战（第2版）,78.20
Python快速编程入门,30.30
Python编程：从数据分析到数据科学,61.20
Python量化交易实战,67.20
自己动手写Python虚拟机,70.60
PYTHON3网络爬虫开发实战,74.20
Python数据分析与数据化运营（第2版）,106.40
Python从小白到大牛,67.60
Python 快速入门 第3版,74.50
Python高效开发实战：Django、Tornado、Flask、Twisted（第2版）,98.00
精通Python爬虫框架Scrapy,49.40
Python核心编程 第3版(第3版),61.40
"对比Excel,轻松学习Python数据分析",34.30
像计算机科学家一样思考Python 第2版,41.00
笨办法 学Python 3+用Python写网络爬虫 第2版 基础编程 自学教材书,71.70
OpenCV轻松入门：面向Python,98.00
小天才学Python+教学指导 scratch少儿趣味编程 小学生C++趣味编程设计,54.20
Python数据分析基础,56.40
Python深度学习：基于PyTorch,73.40
Python统计分析,66.20
Python算法教程,57.80
Python计算机视觉编程,56.40
Python程序设计 第3版,57.80
【正版现货】可爱的Python哲思社区电子工业出版社,190.00
流畅的Python,100.10
Python从菜鸟到高手,108.80
Python 3.7从零开始学,67.20
Python基础教程 第3版Python简明教程书籍 Python编程从入门到实践 灵程序设计丛书,61.70
Python数据科学手册,78.50
Python数据分析 第2版,57.80
从Python开始学编程,48.50
Python人脸识别 从入门到工程实践,38.70
Python深度学习 DeepLearningWithPython中文版人工智能入门书籍,77.90
贝叶斯思维 统计建模的Python学习法,41.00
【3册】Python编程从入门到实践+Python编程快速上手+Python极客项目编程 pyt,158.00
数据结构 Python语言描述,51.40
编程超有趣 奇妙Python轻松学 第1辑,57.80
Python机器学习算法,68.30
